ProductID,total_vendido,Price,Name,total_recaudado
67,5,14,Laughing Lumberjack Lager,70
45,15,9.5,Røgede sild,142.5
52,48,7,Filo Mix,336
22,18,21,Gustaf's Knäckebröd,378
15,25,15.5,Genen Shouyu,387.5
13,92,6,Konbu,552
73,45,15,Röd Kaviar,675
24,158,4.5,Guaraná Fantástica,711.0
7,25,30,Uncle Bob's Organic Dried Pears,750
33,316,2.5,Geitost,790.0
3,80,10,Aniseed Syrup,800
48,70,12.75,Chocolade,892.5
6,36,25,Grandma's Boysenberry Spread,900
47,101,9.5,Zaanse koeken,959.5
25,71,14,NuNuCa Nuß-Nougat-Creme,994
37,39,26,Gravad lax,1014
12,27,38,Queso Manchego La Pastora,1026
42,77,14,Singaporean Hokkien Fried Mee,1078
75,144,7.75,Rhönbräu Klosterbier,1116.0
50,70,16.25,Valkoinen suklaa,1137.5
41,139,9.65,Jack's New England Clam Chowder,1341.35
77,108,13,Original Frankfurter grüne Soße,1404
21,147,10,Sir Rodney's Scones,1470
23,165,9,Tunnbröd,1485
66,90,17,Louisiana Hot Spiced Okra,1530
34,110,14,Sasquatch Ale,1540
32,52,32,Mascarpone Fabioli,1664
19,181,9.2,Teatime Chocolate Biscuits,1665.2
46,145,12,Spegesild,1740
74,186,10,Longlife Tofu,1860
9,20,97,Mishi Kobe Niku,1940
58,155,13.25,Escargots de Bourgogne,2053.75
54,280,7.45,Tourtière,2086.0
4,107,22,Chef Anton's Cajun Seasoning,2354
70,164,15,Outback Lager,2460
68,199,12.5,Scottish Longbreads,2487.5
10,85,31,Ikura,2635
5,129,21.35,Chef Anton's Gumbo Mix,2754.15
1,159,18,Chais,2862
61,106,28.5,Sirop d'érable,3021.0
57,168,19.5,Ravioli Angelo,3276.0
44,178,19.45,Gula Malacca,3462.1
14,152,23.25,Tofu,3534.0
76,198,18,Lakkalikööri,3564
49,180,20,Maxilaku,3600
65,175,21.05,Louisiana Fiery Hot Pepper Sauce,3683.75
36,198,19,Inlagd Sill,3762
11,182,21,Queso Cabrales,3822
27,90,43.9,Schoggi Schokolade,3951.0
30,170,25.89,Nord-Ost Matjeshering,4401.3
40,256,18.4,Boston Crab Meat,4710.4
39,266,18,Chartreuse verte,4788
64,167,33.25,Wimmers gute Semmelknödel,5552.75
8,140,40,Northwoods Cranberry Sauce,5600
55,238,24,Pâté chinois,5712
31,458,12.5,Gorgonzola Telino,5725.0
16,338,17.45,Pavlova,5898.1
43,136,46,Ipoh Coffee,6256
2,341,19,Chang,6479
69,184,36,Gudbrandsdalsost,6624
18,106,62.5,Carnarvon Tigers,6625.0
35,369,18,Steeleye Stout,6642
71,336,21.5,Fløtemysost,7224.0
26,232,31.23,Gumbär Gummibärchen,7245.36
53,251,32.8,Perth Pasties,8232.8
20,106,81,Sir Rodney's Marmalade,8586
28,189,45.6,Rössle Sauerkraut,8618.4
51,163,53,Manjimup Dried Apples,8639
63,209,43.9,Vegie-spread,9175.1
72,270,34.8,Mozzarella di Giovanni,9396.0
56,269,38,Gnocchi di nonna Alice,10222
17,331,39,Alice Mutton,12909
60,430,34,Camembert Pierrot,14620
62,325,49.3,Tarte au sucre,16022.5
59,346,55,Raclette Courdavault,19030
29,168,123.79,Thüringer Rostbratwurst,20796.72
38,239,263.5,Côte de Blaye,62976.5
